变量名,name,name_tw,name_en,name_vn,name_kr,needExp,rateUp,weight1,weight2,weight3
默认值,"""""","""""","""""","""""","""""",0,1,0,0,0
等级,捕捉等级名称,捕捉等级名称,捕捉等级名称,捕捉等级名称,捕捉等级名称_韩,升级经验,获得成功率加成（乘法）,普通球权值1,高级球权值,大师球权值
,,,,,,,,,,
1,Amateur Catcher,Amateur Catcher,Amateur Catcher,Ng??i b?t nghi?p d?,?? ???,200,1,0,0.06,0.2
2,Rookie Catcher,Rookie Catcher,Rookie Catcher,Rookie Catcher,?? ???,500,1.03,0,0.06,0.2
3,Beginner Catcher,Beginner Catcher,Beginner Catcher,Ng??i m?i b?t ??u,?? ???,800,1.06,0,0.06,0.2
4,Rising Catcher,Rising Catcher,Rising Catcher,Rising Catcher,?? ???,1200,1.09,0,0.06,0.2
5,Intermediate Catcher,Intermediate Catcher,Intermediate Catcher,Ng??i b?t trung gian,?? ???,1800,1.12,0,0.06,0.2
6,Skillful Catcher,Skillful Catcher,Skillful Catcher,Ng??i b?t khéo léo,?? ???,2500,1.15,0,0.06,0.2
7,Advanced Catcher,Advanced Catcher,Advanced Catcher,Advanced Catcher,?? ???,4000,1.18,0,0.06,0.2
8,All-round Catcher,All-round Catcher,All-round Catcher,Catcher toàn di?n,?? ???,6000,1.21,0,0.06,0.2
9,Super Catcher,Super Catcher,Super Catcher,Super Catcher,?? ???,8000,1.24,0,0.06,0.2
10,Expert Catcher,Expert Catcher,Expert Catcher,Chuyên gia b?t,??? ??,10000,1.27,0,0.06,0.2
11,Expert Catcher,Expert Catcher,Expert Catcher,Chuyên gia b?t,?? ???,12000,1.3,0,0.06,0.2
12,Grandmaster Catcher,Grandmaster Catcher,Grandmaster Catcher,Grandmaster Catcher,?? ??????,14000,1.33,0,0.06,0.2
13,Master Catcher,Master Catcher,Master Catcher,Master Catcher,?? ???,16000,1.36,0,0.06,0.2
14,Legendary Catcher Ⅰ,Legendary Catcher Ⅰ,Legendary Catcher Ⅰ,Catcher huy?n tho?i Ⅰ,??? ??? Ⅰ,18000,1.39,0,0.06,0.2
15,Legendary Catcher Ⅱ,Legendary Catcher Ⅱ,Legendary Catcher Ⅱ,Catcher huy?n tho?i Ⅱ,??? ??? Ⅱ,20000,1.42,0,0.06,0.2
16,Legendary Catcher Ⅲ,Legendary Catcher Ⅲ,Legendary Catcher Ⅲ,Catcher huy?n tho?i Ⅲ,??? ??? Ⅲ,99999999,1.45,0,0.06,0.2
